Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Scope,Variant,Sample Size,Participation Rate,Participation,Precision,ANO,ODS,Piráti,SPD,Stačilo!,KSČM,SOCDEM,KDU-ČSL,TOP 09,STAN,Svobodní,Zelení,Úsvit,Trikolóra,STAN-TOP,ČSL-STAN,SPOLU,Pir-STAN,TSS,Přísaha,AUTO,Přísaha+AUTO,VB,PRO,DSSS,SPOZ,VV,US-DEU,Koalice,DEU,SPR-RSC,NEZ,SNK-ED,SŽJ,ODA,LB,HSMS-MNS,ODS+KDS,LB+KSČM,LSU,ZS,ČSS,OH,KDS,Other,Source
STEM,2026-01-02,2026-01-07,FALSE,National,,1089,0.68,,0.1,0.346,0.141,0.084,0.068,0.017,0.013,,0.034,0.043,0.126,,0.016,,,,,,,,0.013,0.049,,,0.011,,,,,,,,,,,,,,,,,,,,,0.04,https://cnn.iprima.cz/exkluzivne-prvni-povolebni-vyzkum-ukazuje-totalni-dominanci-ano-nasleduji-ods-a-starostove-500965
ELECTION,2025-10-03,2025-10-04,FALSE,National,,8253316,0.6895,5621717,0.01,0.3451,,0.0897,0.0778,0.043,,,,,0.1123,,,,,,,0.2336,,,0.0107,0.0677,,,,,,,,,,,,,,,,,,,,,,,,,
NMS,2025-09-24,2025-09-28,FALSE,National,,1497,0.631,,0.1,0.295,,0.096,0.131,0.073,,,,,0.118,,,,,,,0.178,,,0.016,0.077,,,,,,,,,,,,,,,,,,,,,,,,,https://www.novinky.cz/clanek/volby-do-poslanecke-snemovny-exkluzivni-pruzkum-ano-pod-triceti-motoriste-a-stacilo-nad-7-procenty-40540959
Ipsos,2025-09-22,2025-09-28,FALSE,National,,1467,0.66,,0.1,0.326,,0.087,0.101,0.077,,,,,0.112,,,,,,,0.211,,,0.021,0.054,,,,,,,,,,,,,,,,,,,,,,,,0.011,https://www.ipsos.com/cs-cz/ipsos-volebni-model-volby-vyhralo-ano-druha-je-koalice-spolu
STEM,2025-09-20,2025-09-26,FALSE,National,,1434,0.665,,0.1,0.293,,0.101,0.134,0.055,,,,,0.117,,,,,,,0.205,,,0.032,0.059,,,,,,,,,,,,,,,,,,,,,,,,0.004,https://cnn.iprima.cz/exkluzivne-volby-by-vyhralo-ano-je-ale-pod-30-procenty-pirati-vykazuji-nejlepsi-vysledek-487051
Median,2025-09-01,2025-09-25,FALSE,National,,1019,0.625,636,0.5,0.305,,0.1,0.13,0.07,,,,,0.1,,,,,,,0.21,,,0.02,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2025/09/Volby_PS_2025_09_v02VD.pdf
H21,2025-09-16,2025-09-22,FALSE,National,,1407,,1076,0.1,0.275,,0.117,0.123,0.079,,,,,0.116,,,,,,,0.18,,,0.022,0.076,,,,,,,,,,,,,,,,,,,,,,,,0.013,https://www.ih21.org/aktuality/predvolebni-pruzkum-prekvapive-nizka-podpora-ano-spolu-posiluji-motoriste-pirati-druhe-hlasy-pomohly-starostum-spd
Kantar,2025-09-01,2025-09-19,FALSE,National,,1200,0.84,1042,0.5,0.33,,0.095,0.095,0.06,,,,,0.13,,,,,,,0.195,,,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://ct24.ceskatelevize.cz/clanek/domaci/v-zarijovem-modelu-kantaru-oslabilo-spolu-i-spd-posilili-motoriste-a-stan-365451
STEM,2025-08-28,2025-09-16,FALSE,National,,1500,,,0.1,0.309,,0.093,0.12,0.077,,,,,0.122,,,,,,,0.195,,,0.02,0.057,,,,,,,,,,,,,,,,,,,,,,,,,https://cnn.iprima.cz/exkluzivni-model-stan-znacne-posilil-a-je-pred-piraty-i-spd-486063
NMS,2025-09-01,2025-09-07,FALSE,National,,1002,0.617,,0.1,0.31,,0.09,0.123,0.055,,,,,0.126,,,,,,,0.199,,,0.027,0.054,,,,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-zari-2025-vladni-volici-se-zacinaji-rozhodovat-komu-daji-svuj-hlas-opozice-bude-muset-dobre-mobilizovat/
