Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Round,Sample Size,Participation Rate,Participation,Precision,R. Fico,A. Kiska,R. Procházka,M. Kňažko,G. Bárdos,P. Hrušovský,J. Čarnogurský,Source
ELECTION,3/29/2014,3/29/2014,FALSE,2,4406261,0.5048,2200906,0.01,0.4061,0.5938,,,,,,
ELECTION,3/15/2014,3/15/2014,FALSE,1,4409793,0.434,1899332,0.01,0.28,0.24,0.2124,0.1286,0.051,0.0333,0.0064,
eCall Slovakia,3/8/2014,3/11/2014,FALSE,1,1978,0.54,,0.1,0.368,0.208,0.169,0.087,0.042,0.032,0.02,https://www.topky.sk/cl/1000739/1383595/Telefonicky-prieskum--Do-druheho-kola-Fico-a-Kiska--Prochazka-v-zavese-
FOCUS,3/5/2014,3/9/2014,FALSE,1,1009,0.753,,0.1,0.361,0.271,0.1,0.111,0.043,0.05,0.013,https://www.topky.sk/cl/1000739/1383325/Fico-verzus-Kiska--Takyto-rozdiel-by-medzi-nimi-bol-v-prvom-kole-volieb-
Polis,3/2/2014,3/7/2014,FALSE,1,1420,0.59,,0.1,0.378,0.264,0.081,0.112,0.045,0.052,0.025,https://www.topky.sk/cl/1000739/1382785/Najnovsi-volebny-prieskum-Polisu--Druhe-kolo-by-mali-iste-tito-dvaja-kandidati-
MVK,2/26/2014,3/4/2014,FALSE,2,834,,,0.1,0.47,0.53,,,,,,https://spravy.pravda.sk/prezidentske-volby-2014/clanok/311815-v-druhom-kole-by-podla-agentury-mvk-kiska-porazil-fica/
MVK,2/26/2014,3/4/2014,FALSE,1,834,0.82,,0.1,0.38,0.23,0.115,0.08,0.045,0.09,0.015,https://spravy.pravda.sk/domace/clanok/310939-do-druheho-kola-volieb-by-podla-mvk-isiel-fico-a-kiska/
FOCUS,2/25/2014,3/3/2014,FALSE,1,1052,0.772,,0.1,0.35,0.238,0.099,0.097,0.053,0.079,0.032,https://focus-research.sk/files/172_Preferencie%20prezidentskych%20kandidatov_marec%20I._2014.pdf
Polis,2/16/2014,2/22/2014,FALSE,1,1868,0.55,,0.1,0.388,0.23,0.095,0.095,0.043,0.068,0.022,https://www.topky.sk/cl/1000739/1380193/Novy-prieskum-prezidentskych-volieb--Trend-potvrdil-aj-Polis
MEDIAN SK,2/17/2014,2/21/2014,FALSE,1,1033,0.625,,0.1,0.358,0.326,0.092,0.075,0.033,0.034,0.022,https://spravy.pravda.sk/prezidentske-volby-2014/clanok/309508-prieskum-kiska-zaznamenal-rekordny-vzostup-preferencii/
FOCUS,2/10/2014,2/14/2014,FALSE,1,1012,0.756,,0.1,0.37,0.204,0.103,0.129,0.045,0.073,0.017,https://spravy.pravda.sk/prezidentske-volby-2014/clanok/309064-prieskum-focusu-do-druheho-kola-by-sa-dostali-fico-a-kiska/
FOCUS,1/27/2014,2/5/2014,FALSE,2,1051,,,0.1,0.463,0.537,,,,,,https://spravy.pravda.sk/prezidentske-volby-2014/clanok/308174-prieskum-agentury-focus-kiska-by-v-druhom-kole-porazil-fica/
FOCUS,1/27/2014,2/5/2014,FALSE,1,1051,0.644,,0.1,0.38,0.173,0.108,0.095,0.056,0.093,0.037,https://spravy.pravda.sk/prezidentske-volby-2014/clanok/308174-prieskum-agentury-focus-kiska-by-v-druhom-kole-porazil-fica/
Polis,1/24/2014,2/2/2014,FALSE,1,1969,0.63,,0.1,0.405,0.153,0.092,0.101,0.043,0.091,0.03,https://www.topky.sk/cl/1000739/1376933/Fico-a-Kiska-sa-stretnu-v-druhom-kole-volieb
MVK,1/15/2014,1/21/2014,FALSE,1,1106,0.776,,0.1,0.401,0.132,0.136,0.089,0.066,0.09,0.031,https://spravy.pravda.sk/prezidentske-volby-2014/clanok/306515-prieskum-z-kandidatov-vedie-fico-pred-prochazkom-a-kiskom/
FOCUS,1/15/2014,1/20/2014,FALSE,1,1010,0.82,,0.1,0.4,0.13,0.077,0.118,0.053,0.082,0.043,https://focus-research.sk/files/170_Tlacova%20sprava_Prezident_pre%20RTVS_januar%202014.pdf
MEDIAN SK,1/15/2014,1/19/2014,FALSE,1,1033,,,0.1,0.388,0.186,0.099,,,0.057,0.019,https://www.topky.sk/cl/1000739/1375937/Slovaci-by-chceli-za-prezidenta-Fica--Takto-si-vedu-zvysni-kandidati-
FOCUS,11/5/2013,11/12/2013,FALSE,2,1049,,,0.1,0.49,0.51,,,,,,https://focus-research.sk/files/166_Preferencie%20prezidentskych%20kandidatov_november_2013.pdf
FOCUS,11/5/2013,11/12/2013,FALSE,1,1049,0.634,,0.1,0.369,0.179,0.103,0.072,,0.156,0.059,https://focus-research.sk/files/166_Preferencie%20prezidentskych%20kandidatov_november_2013.pdf
FOCUS,10/8/2013,10/15/2013,FALSE,1,1014,0.589,,0.1,0.378,0.176,0.151,,,0.179,0.077,https://www.focus-research.sk/files/162_Preferencie%20prezidentskych%20kandidatov_oktober_2013.pdf
MVK,9/26/2013,10/2/2013,FALSE,1,1078,0.738,,0.1,0.379,0.132,0.181,,,0.176,0.089,https://www.topky.sk/cl/1000733/1364355/Do-2--kola-prezidentskych-volieb-by-postupili-Fico-a-Prochazka
FOCUS,8/27/2013,9/2/2013,FALSE,1,1079,0.616,,0.1,0.384,0.2,0.117,,,0.173,0.088,https://domov.sme.sk/c/6931665/focus-do-druheho-kola-prezidentskych-volieb-by-isli-fico-a-kiska.html
Polis,7/5/2013,7/20/2013,FALSE,1,1083,0.58,,0.1,0.446,0.096,0.148,,,0.152,0.118,https://www.topky.sk/cl/100535/1357057/Prieskum--V-druhom-kole-prezidentskych-volieb-by-bol-Fico-a-Hrusovsky
FOCUS,7/3/2013,7/10/2013,FALSE,1,1055,0.59,,0.1,0.363,0.189,0.058,,,0.134,0.052,https://www.noviny.sk/slovensko/117234-prieskum-do-druheho-kola-prezidentskych-volieb-by-isli-fico-a-kiska
MVK,7/2/2013,7/8/2013,FALSE,1,1077,0.668,,0.1,0.436,0.118,0.156,,,0.15,0.112,https://www.topky.sk/cl/100535/1355518/Do-druheho-kola-volieb-prezidenta-by-postupili-Fico-a-Prochazka
MVK,5/8/2013,5/15/2013,FALSE,1,1085,0.622,,0.1,0.419,0.133,0.164,,,,0.172,https://www.topky.sk/cl/100535/1350250/Novym-prezidentom-by-sa-podla-prieskumu-stal-Fico-
FOCUS,3/6/2013,3/12/2013,FALSE,1,1002,0.588,,0.1,0.299,0.23,0.094,,,0.12,0.076,https://www.topky.sk/cl/100535/1343844/Prekvapenie-v-prieskume-prezidentskych-volieb--Dobry-anjel-Kiska-sliape-na-paty-Ficovi-
MVK,10/5/2013,10/11/2013,FALSE,1,1133,0.693,,0.1,0.3,0.079,,,,0.076,0.097,https://www.topky.sk/cl/100535/1328630/Radicova-by-v-prezidentskych-volbach-vyrazne-predbehla-Fica-
