Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Round,Sample Size,Participation Rate,Participation,Precision,Z. Čaputová,M. Šefčovič,R. Mistrík,Š. Harabin,M. Kotleba,F. Mikloško,B. Bugár,M. Krajniak,E. Chmelár,M. Daňo,R. Švec,J. Zábojník,I. Zuzula,B.Tauchmannová,J. Menyhárt,M. Lajčák,I. Radičová,A. Danko,R. Raši,V. Remišová,M. Čaučík,G. Drobová,O. Fegyveres,R. Znášik,Source
ELECTION,3/30/2019,3/30/2019,FALSE,2,4419883,0.4179,1808985,0.01,0.584,0.4159,,,,,,,,,,,,,,,,,,,,,,,
FOCUS,3/28/2019,3/29/2019,FALSE,2,1204,,,0.1,0.552,0.448,,,,,,,,,,,,,,,,,,,,,,,https://tvnoviny.sk/domace/clanok/96252-exkluzivny-prieskum-pre-tv-markiza-ludia-prezradili-kto-by-sa-mal-stat-novym-prezidentom
ELECTION,3/16/2019,3/16/2019,FALSE,1,4429033,0.4874,2145364,0.01,0.4057,0.1866,,0.1434,0.1039,0.0572,0.031,0.0277,0.0274,0.0051,0.003,0.0028,0.0017,0.0016,,,,,,,,,,,
FOCUS,3/14/2019,3/16/2019,FALSE,2,1107,,,0.1,0.664,,,0.336,,,,,,,,,,,,,,,,,,,,,https://tvnoviny.sk/domace/clanok/96301-exkluzivny-prieskum-pre-tv-markiza-v-druhom-kole-by-mal-dominovat-jeden-kandidat
FOCUS,3/14/2019,3/16/2019,FALSE,2,1107,,,0.1,0.644,0.356,,,,,,,,,,,,,,,,,,,,,,,https://tvnoviny.sk/domace/clanok/96301-exkluzivny-prieskum-pre-tv-markiza-v-druhom-kole-by-mal-dominovat-jeden-kandidat
FOCUS,3/14/2019,3/16/2019,FALSE,1,1107,,,0.1,0.42,0.176,,0.137,0.09,0.064,0.038,0.04,0.027,0.001,0.004,0.001,0.001,0.001,,,,,,,,,,,https://www.facebook.com/focusresearch/photos/a.834255723353243/1844097469035725/
MEDIAN SK,3/15/2019,3/16/2019,FALSE,1,1859,0.68,,1,0.42,0.16,,0.12,0.09,0.06,0.05,0.05,0.03,0.01,0.01,,,,,,,,,,,,,,https://www.median.sk/pdf/OSTATNE/4519510_RTVS_Prezidentske_volby_Motivacie_v40MM_17032019_190200.pdf
AKO,3/15/2019,3/15/2019,FALSE,1,1000,0.761,,0.1,0.463,0.152,,0.117,0.095,0.049,0.041,0.024,0.04,0.003,0.003,0.005,0.003,0.005,,,,,,,,,,,https://ako.sk/wp-content/uploads/2019/03/AKO_preTA3_prezidentske_preferencie.pdf
Phoenix Research,2/26/2019,3/1/2019,FALSE,1,1099,0.555,,0.1,0.185,0.198,,0.152,0.078,0.067,0.091,0.071,0.051,0.025,0.012,0.011,0.056,0.003,,,,,,,,,,,https://www.phoenixresearch.sk/dnld/Phoenix_research_-VOBA_PREZIDENTA_SLOVENSKEJ_REPUBLIKY_2019_-02_2019-preferencie-potencial.pdf
AKO,2/27/2019,2/28/2019,FALSE,1,800,0.737,,0.1,0.529,0.167,,0.114,0.056,0.031,0.041,0.024,0.015,0.01,0.002,0.001,0.005,0.005,,,,,,,,,,,https://ako.sk/wp-content/uploads/2019/03/AKO_prezidentske_preferencie_27.-28.2.2019.pdf
